OBJECTID,HUC,WBID,DISTRICT,PLANNING_UNIT,GROUP_NUMBER,GROUP_NAME,WATERBODY_NAME,WATER_TYPE,CLASS,TARGET_PARAMETERS,BACTERIA,NUTRIENTS,METALS,BIOLOGY,FLORA,PESTICIDES,BACT_COUNT,NUTRIENTS_COUNT,METALS_COUNT,BIOLOGY_COUNT,FLORA_COUNT,PESTICIDES_COUNT,FIELD_PARAMETERS,TRACERS_COUNT,MARKERS_COUNT,TRACERS,MARKERS,SHAPEAREA,SHAPELEN
227,03090206,3245F,SED,C-51,Group 3,Lake Worth Lagoon - Palm Beach Coast,C-51 EAST,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,163130153.863075,80316.3213148027
228,03080203,3129B1,SED,South Central Indian River Lagoon,Group 5,Indian River Lagoon,SOUTH PRONG ST. SEBASTIAN RIVER (ESTUARINE SEGMENT),ESTUARY,3M,"Dissolved Oxygen, Microbiology, Nutrients",Yes,Yes,,,,,9,5,0,0,0,0,Yes,2,0,Yes,,8870764.41585,12446.972612439
229,03080201,2535A,NED,Matanzas River,Group 5,Upper East Coast,MOSES CREEK (MARINE SEGMENT),ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,2074877.749575,8429.80530176529
230,03080101,2987B,CD,Wekiva River,Group 2,Middle St. Johns,LITTLE WEKIVA (WEST),STREAM,3F,"Flora, Pesticides",Yes,Yes,,,Yes,Yes,1,1,0,0,1,5,Yes,0,0,,,445391.5823,2855.16499066391
231,03080101,3004M,CD,Wekiva River,Group 2,Middle St. Johns,LAKE LOTUS,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,468905.759775,3841.6805908387
232,03080101,2997B1,CD,Lake Jesup,Group 2,Middle St. Johns,LAKE ANN,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,61087.5889375,924.595953445561
233,03080103,2617A,NED,Crescent Lake,Group 2,Lower St. Johns,LAKE BROWARD,LAKE,3F,Nutrients,,Yes,Yes,Yes,,,0,20,20,2,0,0,Yes,20,0,Yes,,1955930.0369625,10754.0234288192
234,03080102,2754,NED,Orange Creek,Group 1,Ocklawaha,CROSS CREEK,STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,1448706.64355,5457.509791108
235,03080103,2623,NED,Crescent Lake,Group 2,Lower St. Johns,SILVER LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,440613.2062215,4687.95759866127
236,03140203,570,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,SEVEN RUNS,STREAM,3F,Biology,,,,Yes,Yes,,0,0,0,1,1,0,Yes,0,0,,,45106704.3034625,63540.605975482
237,03100207,1382B,SWD,Middle Coastal,Group 5,Springs Coast,WEEKI WACHEE SPRING GROUP,SPRING,3F,Nutrients,,Yes,,,,,0,2,0,0,0,0,Yes,0,0,,,3362.5398,212.82052762013
238,03090204,3278D,SD,Southwest Coast,Group 1,Everglades West Coast,COCOHATCHEE (INLAND SEGMENT),STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,12,12,Yes,Yes,95122345.650898,64759.4420003058
239,03070204,2097E,NED,Middle St. Marys River,Group 4,Nassau - St. Marys,ST MARYS RIVER,STREAM,3F,Metals,Yes,Yes,Yes,,,,5,5,10,0,0,0,Yes,0,0,,,4328830.7931,22902.1104944628
240,03130011,487,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,FLAT CREEK,STREAM,3F,"Microbiology, Nutrients, Pesticides",Yes,Yes,Yes,,,Yes,5,5,5,0,0,5,Yes,0,0,,,38324338.3516,58561.9284903638
241,03070204,2105,NED,Middle St. Marys River,Group 4,Nassau - St. Marys,PIGEON CREEK,STREAM,3F,Nutrients,,Yes,Yes,,,,0,5,10,0,0,0,Yes,2,0,Yes,,19587790.516,28433.3341166673
242,03090205,3237D,SD,East Caloosahatchee,Group 3,Caloosahatchee,FLAGHOLE CANAL,STREAM,3F,"Nutrients, Pesticides",Yes,Yes,,,,Yes,1,5,0,0,0,5,Yes,0,0,,,167468705.133125,72135.8105327634
243,03140104,127,NWD,Blackwater River,Group 4,Pensacola,MANNING CREEK,STREAM,3F,"Dissolved Oxygen, Microbiology, Nutrients",Yes,Yes,,,,,5,10,0,0,0,0,Yes,0,0,,,31756590.785075,35392.1572471367
244,03090206,3194A,SED,North St. Lucie,Group 2,St. Lucie - Loxahatchee,TENMILE CREEK,STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,190434950.096125,59430.5479326286
245,03100102,1869B,SWD,Upper Myakka River,Group 3,Sarasota Bay - Peace - Myakka,MYAKKA RIVER (UPPER SEGMENT),STREAM,3F,Microbiology,Yes,,,,,,1,0,0,0,0,0,Yes,2,0,Yes,,7625608.6556375,15710.921156297
246,03080103,2667A,CD,Crescent Lake,Group 2,Lower St. Johns,LAKE DIAS,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,2904419.59555,8630.43803292686
247,03080203,3163,SED,C-25,Group 5,Indian River Lagoon,FORT PIERCE FARM CANAL (BELCHER CANAL/TAYLOR CREEK),STREAM,3F,"Dissolved Oxygen, Flora, Microbiology, Nutrients, Pesticides",Yes,Yes,,,Yes,Yes,5,5,0,0,1,5,Yes,0,0,,,99108025.6052,53806.3961844672
248,03130012,151A,NWD,Chipola River,Group 2,Apalachicola - Chipola,MARSHALL CREEK,STREAM,3F,"Biology, Dissolved Oxygen",Yes,,,Yes,Yes,,6,0,0,1,1,0,Yes,0,0,,,88096709.6477625,85970.7095965093
249,03090101,1436,SWD,Upper Kissimmee,Group 4,Kissimmee River,HORSE (HORSESHOE) CREEK,STREAM,3F,"Biology, Dissolved Oxygen",,,,Yes,Yes,,0,0,0,1,1,0,Yes,0,0,,,66925361.278,55293.6336244209
250,03080101,3002G,CD,Wekiva River,Group 2,Middle St. Johns,LAKE LOTTA,LAKE,3F,"Biology, Nutrients",,Yes,Yes,Yes,,,0,5,5,1,0,0,Yes,0,0,,,161183.276125,2468.49767394854
251,03100101,1757A,SWD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,PAYNE CREEK (LOWER SEGMENT),STREAM,3F,Flora,Yes,Yes,,,Yes,,1,1,0,0,1,0,Yes,0,0,,,4618281.8237875,9335.85498013933
252,03140101,876,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,COURT MARTIAL LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,924585.9038875,3528.75227731167
253,03140101,1142,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,BOGGY CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,5,6,0,1,1,0,Yes,0,0,,,8651991.0656,18802.5729603657
254,03130011,375D,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,APALACHICOLA RIVER,STREAM,3F,"Metals, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,17186610.1890875,22623.0521947625
255,03080102,2835C,CD,Lake Apopka,Group 1,Ocklawaha,APOPKA SPRING,SPRING,3F,Nutrients,,Yes,,,,,0,4,0,0,0,0,Yes,0,0,,,36973.1245375,744.370257309182
256,03100207,1668E,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,ST JOE CREEK (TIDAL SEGMENT),ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,4,5,0,0,0,0,Yes,0,0,,,2623535.370175,8171.18307561768
257,03100103,3240O,SD,Pine Island,Group 2,Charlotte Harbor,PUNTA RASA COVE,ESTUARY,2,Nutrients,Yes,Yes,,,,,6,6,0,0,0,0,Yes,0,0,,,8031387.460775,16039.8269242362
258,03090206,3211,SED,South St. Lucie - Indian River Lagoon,Group 2,St. Lucie - Loxahatchee,BESSEY CREEK,ESTUARY,3M,"Dissolved Oxygen, Metals, Microbiology, Nutrients, Pesticides",Yes,Yes,Yes,,,Yes,5,10,10,0,0,10,Yes,0,3,,Yes,14782704.6543125,17636.2045921964
259,03090206,3210D,SED,South St. Lucie - Indian River Lagoon,Group 2,St. Lucie - Loxahatchee,SOUTH FORK ST LUCIE RIVER (FRESHWATER SEGMENT),STREAM,3F,Biology,Yes,,,Yes,Yes,,10,0,0,1,1,0,Yes,0,0,,,77909627.6263125,59073.9288697339
260,03100202,1848B,SWD,Manatee River,Group 2,Tampa Bay Tributaries,MANATEE RIVER ABOVE BRADEN RIVER,ESTUARY,3M,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,5,5,Yes,Yes,66630858.0964,55256.6623407035
261,03090101,1813E,SD,Lake Istokpoga,Group 4,Kissimmee River,BONNET LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,1054163.6274625,4621.58992997169
262,03080201,2320B2,NED,Tolomato River,Group 5,Upper East Coast,GUANA RIVER BELOW LAKE VEDRA,STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,9207911.5889875,16043.6026142433
263,03100101,1449A,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE DEESON,LAKE,3F,Biology,,Yes,Yes,Yes,,,0,1,1,1,0,0,Yes,0,0,,,182071.374775,2268.66815940923
264,03140102,557,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,MAGNOLIA CREEK,STREAM,3F,"Biology, Flora",Yes,,,,,,10,0,0,1,1,0,Yes,0,0,,,21902122.9216,26196.8272984623
265,03100101,2054,SD,Lower Peace River,Group 3,Sarasota Bay - Peace - Myakka,MYRTLE SLOUGH,STREAM,3F,Metals,,,Yes,,,,0,0,20,0,0,0,Yes,0,0,,,91043062.3091875,49074.5654107374
266,03100102,2053,SD,Lower Myakka River,Group 3,Sarasota Bay - Peace - Myakka,TRAILER PARK CANAL,ESTUARY,2,Metals,,Yes,Yes,,,,0,6,6,0,0,0,Yes,0,0,,,2327694.50735,7923.75096427899
267,03100202,1913,SWD,Manatee River,Group 2,Tampa Bay Tributaries,NONSENSE CREEK,STREAM,1,"Biology, Dissolved Oxygen",Yes,,,,,,1,0,0,1,1,0,Yes,0,0,,,4815668.9768875,9843.7941664322
268,03080101,2962,CD,Lake Monroe,Group 2,Middle St. Johns,SMITH CANAL,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,25638134.7038125,59087.9314856421
269,03090101,1573A,SWD,Upper Kissimmee,Group 4,Kissimmee River,TIGER LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,3,0,0,0,0,Yes,0,0,,,8662920.7242125,13346.7541978274
270,03140104,11,NWD,Blackwater River,Group 4,Pensacola,BIG COLDWATER CREEK,STREAM,3F,"Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,5,10,5,0,0,0,Yes,0,0,,,71071284.5324875,81791.35570262
271,03070205,2162,NED,Nassau River,Group 4,Nassau - St. Marys,CUSHING CREEK,STREAM,3F,"Biology, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,5,5,0,1,1,0,Yes,0,0,,,16449247.7830375,23186.5271604314
272,03090101,1842A,SD,Lake Istokpoga,Group 4,Kissimmee River,LITTLE RED WATER LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,1332607.0878875,5645.48082245901
273,03140203,195,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,SCURLOCK CREEK,STREAM,3F,"Dissolved Oxygen, Microbiology, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,13078187.8435,22675.3176251384
274,03130012,199,NWD,Chipola River,Group 2,Apalachicola - Chipola,RUSS MILL CREEK,STREAM,3F,"Biology, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,5,5,0,1,1,0,Yes,0,0,,,51794035.1616125,56717.6400809083
275,03140101,1061H,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,NORTH BAY (NORTH SEGMENT2),ESTUARY,2,Microbiology,Yes,Yes,,,,,7,4,0,0,0,0,Yes,0,0,,,6604589.7178875,24773.6254727014
276,03100207,1348A,SWD,Homosassa River,Group 5,Springs Coast,BLUEBIRD SPRINGS,SPRING,3F,Nutrients,,Yes,,,,,0,2,0,0,0,0,Yes,0,0,,,3357.9083625,290.742925510702
277,03100204,1639,SWD,Alafia River,Group 2,Tampa Bay Tributaries,THIRTYMILE CREEK,STREAM,3F,"Biology, Flora",Yes,,,,,,4,0,0,1,1,0,Yes,0,0,,,16610354.087125,23679.716210247
278,03090101,1813L,SD,Lake Istokpoga,Group 4,Kissimmee River,LAKE GLENADA,LAKE,3F,Nutrients,,Yes,,,,,0,6,0,0,0,0,Yes,0,0,,,734214.519075,4627.71178869276
279,03100204,1665A,SWD,Alafia River,Group 2,Tampa Bay Tributaries,MIZELLE CREEK,STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,22118288.62025,26429.961221184
280,03140101,966,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,MERIAL LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,1031190.539825,6585.57066677679
281,03140101,1056B,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,BAYOU GEORGE CREEK,STREAM,1,"Biology, Dissolved Oxygen, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,5,5,0,1,1,0,Yes,0,0,,,92396833.1480125,88600.4210740058
282,03130012,1075,NWD,Chipola River,Group 2,Apalachicola - Chipola,STONE MILL CREEK,STREAM,3F,"Dissolved Oxygen, Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,71530819.166875,91021.4291172278
283,03130012,51A,NWD,Chipola River,Group 2,Apalachicola - Chipola,DEAD LAKES,LAKE,3F,"Biology, Dissolved Oxygen, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,76187756.3774375,49369.8866668187
284,03130011,375I,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,BROTHERS RIVER,STREAM,3F,"Metals, Microbiology, Pesticides",Yes,,Yes,,,Yes,6,0,4,0,0,4,Yes,0,0,,,101943257.75515,49295.2103474058
285,03110102,3473A1,NED,Fenholloway,Group 1,Suwannee,FENHOLLOWAY RIVER AT MOUTH (MARINE SEGMENT),ESTUARY,3M,Microbiology,Yes,Yes,,,,,6,6,0,0,0,0,Yes,0,0,,,16513510.2545375,19100.9169428666
286,03090101,1938C,SD,Lake Placid,Group 4,Kissimmee River,LAKE PLACID,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,4,0,Yes,,13732730.99065,18101.9917753154
287,03100208,1340N,SWD,Tsalo Apopka,Group 4,Withlacoochee,HENDERSON LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,1806726.66615,11778.1924264969
288,03080102,2835D,CD,Lake Apopka,Group 1,Ocklawaha,LAKE APOPKA,LAKE,3F,Biology,,Yes,,Yes,,Yes,0,1,0,1,0,1,Yes,1,0,Yes,,123971413.130015,61523.6431935751
289,03080102,2854A,CD,Lake Apopka,Group 1,Ocklawaha,MARSHALL LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,232415.3771125,1862.99584018337
290,03090101,3170A,CD,Upper Kissimmee,Group 4,Kissimmee River,REEDY CREEK BELOW LAKE RUSSELL,STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,37376010.3069375,28834.7718422576
291,03080101,3024A,CD,Econlockhatchee River,Group 2,Middle St. Johns,TRIBUTARY TO LITTLE ECONLOCKHATCHEE RIVER,STREAM,3F,"Biology, Microbiology",Yes,,,Yes,Yes,,3,0,0,1,1,0,Yes,5,5,Yes,Yes,4452013.7591,10934.0944267754
292,03080201,2674B,CD,Halifax River,Group 5,Upper East Coast,STRICKLAND BAY,ESTUARY,3M,Microbiology,Yes,,,,,,4,0,0,0,0,0,Yes,3,3,Yes,Yes,1782259.476625,7330.81993104448
293,03080103,2630C,CD,Crescent Lake,Group 2,Lower St. Johns,LITTLE HAW CREEK (ABOVE LAKE DISSTON),STREAM,3F,"Biology, Dissolved Oxygen, Microbiology",Yes,,Yes,Yes,Yes,,4,0,5,1,1,0,Yes,0,0,,,141882739.363838,89473.8695748084
294,03130012,1154,NWD,Chipola River,Group 2,Apalachicola - Chipola,BIG BRANCH,STREAM,3F,"Metals, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,3,0,Yes,,6627753.675325,11872.4580417624
295,03140103,167A,NWD,Yellow River,Group 4,Pensacola,GUM CREEK,STREAM,3F,Microbiology,Yes,,,,,,1,0,0,0,0,0,Yes,6,0,Yes,,11779018.09585,16226.2159547271
296,03140103,266A,NWD,Yellow River,Group 4,Pensacola,KINGS LAKE,LAKE,3F,Biology,,Yes,Yes,Yes,,,0,1,1,1,0,0,Yes,0,0,,,1463029.340975,10805.5477679551
297,03140103,266B,NWD,Yellow River,Group 4,Pensacola,HOLLY LAKE,LAKE,3F,Biology,,Yes,Yes,Yes,,,0,1,1,1,0,0,Yes,0,0,,,972890.2826,8198.32004671507
298,03090101,1932I,SD,Lake Placid,Group 4,Kissimmee River,BUCK LAKE,LAKE,3F,Biology,,Yes,Yes,Yes,,,0,1,1,1,0,0,Yes,1,0,Yes,,40914.097875,732.085423329567
299,03110203,3366,NED,Withlacoochee River,Group 1,Suwannee,LAKE FRANCIS OUTLET,STREAM,3F,"Biology, Dissolved Oxygen",,Yes,,Yes,Yes,,0,6,0,1,1,0,Yes,0,0,,,213279450.156825,90264.7339998719
300,03090101,3174D,CD,Upper Kissimmee,Group 4,Kissimmee River,COON LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,605503.7044125,2896.95898382846
301,03140101,1056A,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,BAYOU GEORGE LAKE,LAKE,1,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,19462755.281625,20949.83597867
302,03080103,2207A,NED,Trout River,Group 2,Lower St. Johns,BLOCKHOUSE CREEK (FRESHWATER SEGMENT),STREAM,3F,"Biology, Metals, Microbiology, Nutrients, Pesticides",Yes,Yes,Yes,Yes,Yes,Yes,5,5,10,1,1,5,Yes,0,0,,,5468256.2435375,9884.3923583633
303,03140106,149,NWD,Perdido River,Group 5,Perdido,MCDAVID CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,6,4,0,0,0,0,Yes,2,0,Yes,,49502027.1463375,63375.3687570243
304,03100208,1329H,SWD,Upper Withlacoochee,Group 4,Withlacoochee,LAKE LINDSEY,LAKE,3F,"Biology, Dissolved Oxygen, Nutrients",Yes,Yes,,Yes,,,1,5,0,1,0,0,Yes,0,0,,,557248.7515375,3705.42956083069
305,03100206,1570Y,SWD,Coastal Old Tampa Bay Tributary,Group 1,Tampa Bay,EGYPT LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,2,0,0,0,0,Yes,4,0,Yes,,254646.0347125,2433.6186890226
306,03090204,3258C2,SD,Estero Bay,Group 1,Everglades West Coast,MULLOCK CREEK,STREAM,3F,Microbiology,Yes,,,,,,1,0,0,0,0,0,Yes,6,6,Yes,Yes,16044811.76555,19519.1496443526
307,03100206,1686,SWD,Coastal Hillsborough Bay Tributary,Group 1,Tampa Bay,TADPOLE CREEK,STREAM,3F,"Biology, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,5,5,0,1,1,0,Yes,0,0,,,5276429.2591875,10305.0345525758
308,03080101,2986D,CD,Lake Jesup,Group 2,Middle St. Johns,LAKE ALMA,LAKE,3F,"Dissolved Oxygen, Nutrients",,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,84379.1663,1640.49245462643
309,03080101,3021,CD,Econlockhatchee River,Group 2,Middle St. Johns,UNNAMED BRANCH,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,16018624.873225,19435.9159119239
310,03090102,3213A,SED,NHLMS Complex,Group 1,Lake Okeechobee,LETTUCE CREEK,STREAM,3F,Metals,,Yes,Yes,,Yes,,0,1,10,0,1,0,Yes,0,0,,,12691352.0536,16438.0964629045
311,03070204,2127A,NED,Lower St. Marys River,Group 4,Nassau - St. Marys,EGANS CREEK,ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,5,15,0,0,0,0,Yes,4,4,Yes,Yes,18533570.311525,29156.4361115878
312,03090101,1685F,SWD,Lake Istokpoga,Group 4,Kissimmee River,LIVINGSTON CREEK (WEST SEGMENT),STREAM,3F,"Biology, Flora, Nutrients",Yes,Yes,,Yes,Yes,,5,6,0,1,1,0,Yes,0,0,,,17717566.1378,23226.8075329164
313,03090205,3236A,SD,Telegraph Swamp,Group 3,Caloosahatchee,TELEGRAPH CREEK,STREAM,3F,"Biology, Microbiology, Pesticides",Yes,,,Yes,Yes,Yes,3,0,0,1,1,1,Yes,0,0,,,14269957.4698703,21111.2687060885
314,03100101,1623F,SWD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,PEACE RIVER ABOVE TROUBLESOME CREEK,STREAM,3F,"Microbiology, Pesticides",Yes,,,,,Yes,2,0,0,0,0,6,Yes,0,0,,,51511404.031525,52604.6599386817
315,03140305,25A,NWD,Escambia River,Group 4,Pensacola,LAKE STONE (SOUTHWEST OF CENTURY),LAKE,3F,Nutrients,,Yes,Yes,,,,0,5,5,0,0,0,Yes,0,0,,,418201.5817875,5766.28398474325
316,03140104,50,NWD,Blackwater River,Group 4,Pensacola,OAK CREEK,STREAM,3F,Microbiology,Yes,,Yes,,,,5,0,5,0,0,0,Yes,0,0,,,11031650.6596375,16730.4033315415
317,03140103,34,NWD,Yellow River,Group 4,Pensacola,HORSEHEAD CREEK,STREAM,3F,"Biology, Nutrients",,Yes,Yes,Yes,Yes,,0,5,5,1,1,0,Yes,0,0,,,40382064.2601125,48398.848029559
318,03140101,1111,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,SANDY CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,2,0,Yes,,72891116.8289375,49370.7699138449
319,03140203,371,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,PANTHER CREEK,STREAM,3F,Nutrients,Yes,Yes,,,,,5,5,0,0,0,0,Yes,2,0,Yes,,17657076.6145875,27670.443787461
320,03100201,1982,SD,Sarasota Bay,Group 3,Sarasota Bay - Peace - Myakka,SOUTH CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Microbiology, Pesticides",Yes,,,Yes,Yes,Yes,6,0,0,1,1,5,Yes,5,5,Yes,Yes,22879983.903125,27778.0800236683
321,03140102,468,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,JUNIPER CREEK ABOVE TENMILE CREEK,STREAM,3F,"Biology, Microbiology, Nutrients",Yes,Yes,Yes,Yes,Yes,,5,6,6,1,1,0,Yes,0,0,,,22781824.1871875,24590.5858870426
322,03140102,476,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,LITTLE ROCKY CREEK,STREAM,3F,Microbiology,Yes,,,,,,6,0,0,0,0,0,Yes,3,0,Yes,,36709199.0797,34183.4938030016
323,03100202,1840,SWD,Manatee River,Group 2,Tampa Bay Tributaries,GILLEY CREEK,STREAM,1,"Biology, Microbiology",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,27518816.9338375,28858.9511553989
324,03100101,1488C1,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,GUM LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,653085.3949375,3116.94994790238
325,03090101,3192C,SED,Lower Kissimmee,Group 4,Kissimmee River,OAK CREEK,STREAM,3F,"Dissolved Oxygen, Flora, Metals, Microbiology, Nutrients",Yes,Yes,Yes,,Yes,,5,5,5,0,1,0,Yes,0,0,,,32209569.49715,24284.6440529515
326,03140203,94,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,LIMESTONE BRANCH,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,10584503.4064,21336.9522099062
327,03070204,2196,NED,Middle St. Marys River,Group 4,Nassau - St. Marys,DEEP CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,40219502.0875875,29445.7007676999
328,03090101,1761D1,SD,Lake Istokpoga,Group 4,Kissimmee River,MORGAN HOLE CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Microbiology",Yes,,,Yes,Yes,,6,0,0,1,1,0,Yes,3,0,Yes,,127442288.481112,53913.7383012585
329,03120001,647F,NWD,Lake Lafayette,Group 1,Ochlockonee - St. Marks,LAKE KANTURK,LAKE,3F,Biology,Yes,Yes,,Yes,,Yes,1,1,0,1,0,1,Yes,0,0,,,300508.5688,5085.59862790133
330,03140305,25,NWD,Escambia River,Group 4,Pensacola,WIGGINS BRANCH,STREAM,3F,"Metals, Microbiology",Yes,,Yes,,,,5,0,5,0,0,0,Yes,0,0,,,13526683.5793875,23159.6019510734
331,03080101,3140,SED,Blue Cypress Creek,Group 3,Upper St. Johns,LAKE KENANSVILLE,LAKE,1,Biology,Yes,Yes,,Yes,,,5,4,0,1,0,0,Yes,0,0,,,21927695.982825,24063.865277535
332,03090101,1761C,SD,Lake Istokpoga,Group 4,Kissimmee River,ARBUCKLE BRANCH,STREAM,3F,"Biology, Microbiology",Yes,,,,,,5,0,0,1,1,0,Yes,4,0,Yes,,77514337.5465375,38662.0802404
333,03090101,1761J,SD,Lake Istokpoga,Group 4,Kissimmee River,ARBUCKLE CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,4,5,0,0,0,0,Yes,0,0,,,100437504.361175,61092.1930301341
334,03100205,1543B,SWD,Hillsborough River,Group 2,Tampa Bay Tributaries,LAKE BEULAH,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,6,0,1,0,0,Yes,0,0,,,73846.97,981.912880789062
335,03090205,3237E,SD,East Caloosahatchee,Group 3,Caloosahatchee,C-19 CANAL,STREAM,3F,"Nutrients, Pesticides",Yes,Yes,,,,Yes,5,10,0,0,0,5,Yes,0,0,,,154588851.020963,66546.0653459185
336,03100206,1463M,SWD,Coastal Old Tampa Bay Tributary,Group 1,Tampa Bay,LITTLE LAKE WILSON,LAKE,3F,Biology,,Yes,,Yes,,,0,4,0,1,0,0,Yes,0,0,,,192548.0323125,1848.91475045193
337,03080101,28933,CD,Lake Woodruff,Group 2,Middle St. Johns,VOLUSIA BLUE SPRING,SPRING,3F,"Nutrients, Pesticides",,Yes,,,,Yes,0,5,0,0,0,6,Yes,0,0,,,1529.48435,153.302539910169
338,03080103,2203C,NED,Trout River,Group 2,Lower St. Johns,TRIBUTARY TO TROUT RIVER,ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,5,9,0,0,0,0,Yes,0,0,,,2154397.490675,7713.54361450751
339,03080101,2964C,CD,Puzzle Lake,Group 3,Upper St. Johns,RUTH LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,1138360.659575,8060.09436450682
